Gene_Name	Normal_Score	Disease_Score	Association_Score	Association_Score_Scaled	Transcribed in normal/Disease
PRMT10	6	214	220	57.57	Disease
POMT1	18	202	220	57.57	Disease
MND1	8	212	220	57.57	Disease
MYBBP1A	28	192	220	57.57	Disease
AIF1L	2	218	220	57.57	Disease
LOC152217	8	212	220	57.57	Disease
MSX1	20	200	220	57.57	Disease
NUDT5	4	216	220	57.57	Disease
MRPS23	6	214	220	57.57	Disease
PIGS	12	208	220	57.57	Disease
FAM105B	12	208	220	57.57	Disease
SELP	14	206	220	57.57	Normal
GDA	14	204	218	57.05	Disease
SKIL	30	188	218	57.05	Disease
GNA13	8	210	218	57.05	Disease
COL21A1	36	182	218	57.05	Normal
KBTBD4	36	182	218	57.05	Disease
STXBP2	18	200	218	57.05	Disease
NDUFV3	10	208	218	57.05	Disease
FAM63B	6	212	218	57.05	Disease
PTPMT1	8	210	218	57.05	Disease
OTUD5	10	208	218	57.05	Disease
DENND5B	6	212	218	57.05	Disease
C7orf27	12	206	218	57.05	Disease
SMAD6	34	184	218	57.05	Disease
DIS3L	8	210	218	57.05	Disease
LYAR	10	208	218	57.05	Disease
SRFBP1	2	216	218	57.05	Disease
SP1	2	216	218	57.05	Disease
CHKA	42	176	218	57.05	Disease
B3GALT6	8	208	216	56.52	Disease
BMP8B	16	200	216	56.52	Disease
METT10D	10	206	216	56.52	Disease
ORC2L	26	190	216	56.52	Disease
ZNF124	8	208	216	56.52	Disease
hCG_2008140	8	208	216	56.52	Disease
SLC37A3	8	208	216	56.52	Disease
MAFK	12	204	216	56.52	Disease
UBASH3B	14	202	216	56.52	Disease
THRAP3	10	206	216	56.52	Disease
YKT6	2	214	216	56.52	Disease
NME3	24	192	216	56.52	Disease
CHST11	30	186	216	56.52	Disease
HSPBP1	28	188	216	56.52	Disease
XPO5	4	212	216	56.52	Disease
AKAP12	16	200	216	56.52	Disease
NOL3	6	210	216	56.52	Disease
ZNF828	4	212	216	56.52	Disease
RASA2	12	204	216	56.52	Disease
NIN	18	198	216	56.52	Disease
BCKDHB	6	210	216	56.52	Disease
NUBPL	6	210	216	56.52	Disease
PMM1	8	208	216	56.52	Disease
MTFMT	8	208	216	56.52	Disease
CD1A	16	200	216	56.52	Normal
LY6G6C	14	202	216	56.52	Normal
DDX31	10	206	216	56.52	Disease
FAM119A	12	202	214	56.0	Disease
TMEM192	4	210	214	56.0	Disease
CNOT10	12	202	214	56.0	Disease
FIZ1	4	210	214	56.0	Disease
FBXO31	38	176	214	56.0	Disease
C12orf76	12	202	214	56.0	Disease
PLA2G16	14	200	214	56.0	Disease
MTERFD2	4	210	214	56.0	Disease
RNF121	2	212	214	56.0	Disease
NOL10	10	204	214	56.0	Disease
TRMU	24	190	214	56.0	Disease
RRP8	16	198	214	56.0	Disease
KRT1	40	174	214	56.0	Normal
TF	10	204	214	56.0	Normal
CAMKV	18	196	214	56.0	Normal
FOXRED2	38	176	214	56.0	Disease
KIAA1586	2	212	214	56.0	Disease
ZNF75D	4	210	214	56.0	Disease
LIFR	24	190	214	56.0	Disease
CHST14	6	208	214	56.0	Disease
PAFAH2	8	206	214	56.0	Disease
SNTA1	2	212	214	56.0	Disease
TRNAU1AP	8	206	214	56.0	Disease
HS6ST2	8	206	214	56.0	Disease
ARHGAP11A	24	190	214	56.0	Disease
STK36	8	206	214	56.0	Disease
NUDT12	8	206	214	56.0	Disease
BYSL	28	186	214	56.0	Disease
SLC39A3	12	202	214	56.0	Disease
RNF26	8	206	214	56.0	Disease
SLC23A2	2	212	214	56.0	Disease
PYGO2	12	202	214	56.0	Disease
EHMT1	10	204	214	56.0	Disease
TSEN15	8	206	214	56.0	Disease
TMEM55B	4	210	214	56.0	Disease
SRRD	8	204	212	55.48	Disease
GADD45GIP1	18	194	212	55.48	Disease
KIAA1826	14	198	212	55.48	Disease
ISOC2	32	180	212	55.48	Disease
HLCS	2	210	212	55.48	Disease
SKI	8	204	212	55.48	Disease
C19orf40	38	174	212	55.48	Disease
RNASEH2C	2	210	212	55.48	Disease
CCDC132	28	184	212	55.48	Disease
ABL2	30	182	212	55.48	Disease
PSTK	6	206	212	55.48	Disease
FAM158A	38	174	212	55.48	Disease
ARSK	14	198	212	55.48	Disease
ADA	20	192	212	55.48	Disease
CHTF8	12	200	212	55.48	Disease
SEC61A2	12	200	212	55.48	Disease
AP1S3	12	200	212	55.48	Disease
FLVCR1	12	200	212	55.48	Disease
KLHL28	10	202	212	55.48	Disease
TMEM107	4	208	212	55.48	Disease
OBFC2A	10	202	212	55.48	Disease
AGPAT6	8	204	212	55.48	Disease
YPEL3	8	204	212	55.48	Disease
CDC42EP1	18	192	210	54.95	Disease
CHD2	6	204	210	54.95	Disease
TFPT	8	202	210	54.95	Disease
CCDC21	38	172	210	54.95	Disease
CIDEC	22	188	210	54.95	Disease
MOBKL2B	10	200	210	54.95	Disease
AARS2	4	206	210	54.95	Disease
ABCC4	2	208	210	54.95	Disease
LOC93622	16	194	210	54.95	Disease
WDR76	20	190	210	54.95	Disease
TMEM129	6	204	210	54.95	Disease
NBPF3	2	208	210	54.95	Disease
TMEM116	4	206	210	54.95	Disease
ZNF746	2	208	210	54.95	Disease
GFM1	10	200	210	54.95	Disease
RPAIN	10	200	210	54.95	Disease
GOLPH3L	2	208	210	54.95	Disease
TWISTNB	16	194	210	54.95	Disease
CEP97	10	200	210	54.95	Disease
SLC41A2	2	208	210	54.95	Disease
CD207	24	186	210	54.95	Normal
ZNF510	24	184	208	54.43	Disease
ZNF187	28	180	208	54.43	Disease
PARP16	10	198	208	54.43	Disease
DDA1	4	204	208	54.43	Disease
PTGR2	6	202	208	54.43	Disease
RSAD1	6	202	208	54.43	Disease
TMEM63A	16	192	208	54.43	Disease
NIPAL3	12	196	208	54.43	Disease
RAB11B	10	198	208	54.43	Disease
MAD2L2	12	196	208	54.43	Disease
ZBTB44	6	202	208	54.43	Disease
PDDC1	4	204	208	54.43	Disease
C9orf119	16	192	208	54.43	Disease
CDK6	24	184	208	54.43	Disease
DGKD	40	168	208	54.43	Disease
POTEK	10	198	208	54.43	Disease
LOC440288	8	200	208	54.43	Disease
HPS6	2	206	208	54.43	Disease
ANKRD32	2	206	208	54.43	Disease
TP53RK	8	200	208	54.43	Disease
ZC3H12C	6	202	208	54.43	Disease
C10orf88	10	198	208	54.43	Disease
CWH43	42	166	208	54.43	Normal
POU3F1	10	198	208	54.43	Normal
TACR1	14	194	208	54.43	Normal
MRPL55	8	200	208	54.43	Disease
DHRS13	10	198	208	54.43	Disease
KIAA1949	8	198	206	53.9	Disease
SLC37A4	8	198	206	53.9	Disease
CCDC107	8	198	206	53.9	Disease
DHX38	28	178	206	53.9	Disease
SNRPN	4	202	206	53.9	Disease
CHML	26	180	206	53.9	Disease
MRPL53	4	202	206	53.9	Disease
FLYWCH1	8	198	206	53.9	Disease
ENTPD7	4	202	206	53.9	Disease
MRPS9	4	202	206	53.9	Disease
MUC20	16	190	206	53.9	Disease
HISPPD2A	36	170	206	53.9	Disease
GNPDA2	16	190	206	53.9	Disease
FUCA2	16	190	206	53.9	Disease
MRPL24	2	204	206	53.9	Disease
MNX1	40	166	206	53.9	Disease
TOP3A	24	182	206	53.9	Disease
ZNF354A	38	168	206	53.9	Disease
ARNTL	24	182	206	53.9	Disease
ZNF507	12	194	206	53.9	Disease
PRDM15	6	200	206	53.9	Disease
TET3	10	196	206	53.9	Disease
FAM188B	10	196	206	53.9	Disease
TSKU	24	182	206	53.9	Disease
SMARCAL1	22	184	206	53.9	Disease
SIPA1L1	28	176	204	53.38	Disease
TMEM56	12	192	204	53.38	Disease
DUSP9	20	184	204	53.38	Disease
CHPF2	14	190	204	53.38	Disease
RBBP9	10	194	204	53.38	Disease
C11orf74	12	192	204	53.38	Disease
ZFYVE19	4	200	204	53.38	Disease
WDR92	12	192	204	53.38	Disease
PFKFB2	10	194	204	53.38	Disease
CLN6	28	176	204	53.38	Disease
FLJ22167	4	200	204	53.38	Disease
EPB41	28	176	204	53.38	Disease
IKZF5	2	202	204	53.38	Disease
CDRT4	2	202	204	53.38	Disease
C10orf84	8	196	204	53.38	Disease
SIGIRR	22	182	204	53.38	Disease
C13orf1	14	190	204	53.38	Disease
WRNIP1	34	170	204	53.38	Disease
DNTTIP1	12	192	204	53.38	Disease
FAM173A	12	192	204	53.38	Disease
FAM127B	22	182	204	53.38	Disease
TRAF5	6	198	204	53.38	Disease
LIN9	6	198	204	53.38	Disease
MDM4	10	194	204	53.38	Disease
ZNF75A	2	202	204	53.38	Disease
HMGB3L1	36	168	204	53.38	Disease
ZNF684	2	202	204	53.38	Disease
ADAM15	18	186	204	53.38	Disease
SAMD1	12	192	204	53.38	Disease
TP53BP1	22	182	204	53.38	Disease
FAM120C	10	194	204	53.38	Disease
CYFIP2	24	180	204	53.38	Disease
ARG1	16	188	204	53.38	Normal
ZFPL1	10	192	202	52.86	Disease
PISD	20	182	202	52.86	Disease
ZNF496	12	190	202	52.86	Disease
NSMCE1	2	200	202	52.86	Disease
TWF2	4	198	202	52.86	Disease
TSEN54	6	196	202	52.86	Disease
MCPH1	38	164	202	52.86	Disease
BCL7A	34	168	202	52.86	Disease
DNAJC30	6	196	202	52.86	Disease
ZIC2	16	186	202	52.86	Disease
CCDC92	6	196	202	52.86	Disease
BIN1	24	178	202	52.86	Disease
GRWD1	8	194	202	52.86	Disease
C11orf84	14	188	202	52.86	Disease
FOXD1	36	166	202	52.86	Disease
RAB8B	18	184	202	52.86	Disease
LMAN1	16	186	202	52.86	Disease
TGFBR1	8	194	202	52.86	Disease
NUP62CL	34	168	202	52.86	Disease
ZNF559	8	194	202	52.86	Disease
BICD1	40	162	202	52.86	Disease
SNX17	6	196	202	52.86	Disease
SAPS2	6	196	202	52.86	Disease
KRI1	20	182	202	52.86	Disease
ACSF2	10	192	202	52.86	Disease
C19orf48	14	188	202	52.86	Disease
FZD3	34	168	202	52.86	Disease
LOC100132319	8	194	202	52.86	Normal
SLC25A14	4	198	202	52.86	Disease
OLFM4	6	196	202	52.86	Normal
FANCF	20	180	200	52.33	Disease
RPL32P3	4	196	200	52.33	Disease
GLIS2	12	188	200	52.33	Disease
ZNF624	10	190	200	52.33	Disease
UPRT	8	192	200	52.33	Disease
PIGT	30	170	200	52.33	Disease
ZNF286A	8	192	200	52.33	Disease
CCDC77	8	192	200	52.33	Disease
RRS1	22	178	200	52.33	Disease
ARAP3	24	176	200	52.33	Disease
CYB5D1	4	196	200	52.33	Disease
MECR	32	168	200	52.33	Disease
MSRB3	8	192	200	52.33	Disease
CCNK	20	180	200	52.33	Disease
ZNF48	2	198	200	52.33	Disease
SENP7	4	196	200	52.33	Disease
NCRNA00094	16	184	200	52.33	Disease
METTL6	16	184	200	52.33	Disease
PPP1R9B	16	184	200	52.33	Disease
PLGLB2	2	198	200	52.33	Disease
ICAM3	2	198	200	52.33	Disease
LASS4	12	188	200	52.33	Normal
SRRM5	4	196	200	52.33	Normal
	4	196	200	52.33	Normal
TSHZ2	20	180	200	52.33	Disease
PARVB	34	166	200	52.33	Disease
TMPRSS3	20	180	200	52.33	Disease
ABCA8	28	170	198	51.81	Normal
SLC39A2	12	186	198	51.81	Normal
SLC27A2	24	174	198	51.81	Disease
GOLIM4	30	168	198	51.81	Disease
ZNF407	30	168	198	51.81	Disease
DOM3Z	26	172	198	51.81	Disease
C3orf34	12	186	198	51.81	Disease
WDR4	8	190	198	51.81	Disease
PIF1	4	194	198	51.81	Disease
TRPT1	4	194	198	51.81	Disease
PLEK2	14	184	198	51.81	Disease
C15orf17	6	192	198	51.81	Disease
MAP3K3	14	184	198	51.81	Disease
CCDC82	6	192	198	51.81	Disease
GPR137C	2	196	198	51.81	Disease
ZNF180	8	190	198	51.81	Disease
C11orf49	2	196	198	51.81	Disease
C16orf53	8	190	198	51.81	Disease
MBOAT1	10	188	198	51.81	Disease
KTELC1	10	188	198	51.81	Disease
ALKBH3	8	190	198	51.81	Disease
DENND4A	12	186	198	51.81	Disease
ARMC6	10	188	198	51.81	Disease
CNO	12	186	198	51.81	Disease
TMEM209	10	188	198	51.81	Disease
MRPS18C	26	170	196	51.29	Disease
HLF	32	164	196	51.29	Normal
FAM40B	16	180	196	51.29	Disease
TSPAN15	30	166	196	51.29	Disease
ZBTB10	28	168	196	51.29	Disease
L1CAM	40	156	196	51.29	Disease
TMEM206	16	180	196	51.29	Disease
ATAD3A	16	180	196	51.29	Disease
PTMS	14	182	196	51.29	Disease
ZSWIM7	8	188	196	51.29	Disease
FAM169A	40	156	196	51.29	Disease
POLRMT	28	168	196	51.29	Disease
TSPAN12	24	172	196	51.29	Disease
C16orf58	8	188	196	51.29	Disease
TTC30A	8	188	196	51.29	Disease
GTF3C5	42	154	196	51.29	Disease
LOC728855	2	194	196	51.29	Disease
FAM125A	8	188	196	51.29	Disease
ARL16	8	188	196	51.29	Disease
TAOK1	18	178	196	51.29	Disease
KIAA1310	12	184	196	51.29	Disease
MANEAL	8	188	196	51.29	Disease
C14orf149	10	186	196	51.29	Disease
PDE4A	26	170	196	51.29	Disease
STAG3L4	24	172	196	51.29	Disease
ARRB2	32	164	196	51.29	Disease
NCAPH	32	164	196	51.29	Disease
MRPL10	8	186	194	50.76	Disease
BSCL2	10	184	194	50.76	Disease
C14orf153	8	186	194	50.76	Disease
CYP27B1	34	160	194	50.76	Disease
C3orf52	28	166	194	50.76	Disease
ARHGEF5	8	186	194	50.76	Disease
ANKRD54	8	186	194	50.76	Disease
HAPLN3	6	188	194	50.76	Disease
THOC6	16	178	194	50.76	Disease
PTCD1	28	166	194	50.76	Disease
ATF7IP2	18	176	194	50.76	Disease
EP400NL	8	186	194	50.76	Disease
MAPK8	16	178	194	50.76	Disease
COPG2	8	186	194	50.76	Disease
CYBRD1	6	188	194	50.76	Disease
WDR85	8	186	194	50.76	Disease
EMCN	2	192	194	50.76	Normal
COL5A3	28	166	194	50.76	Normal
CXorf38	16	178	194	50.76	Disease
SLC4A2	36	158	194	50.76	Disease
PEX11A	22	172	194	50.76	Disease
TLCD1	16	178	194	50.76	Disease
MB	36	158	194	50.76	Disease
C7orf38	2	192	194	50.76	Disease
FAM86B1	16	178	194	50.76	Disease
TNK2	12	180	192	50.24	Disease
FRMD8	10	182	192	50.24	Disease
FBXL18	10	182	192	50.24	Disease
RAB40C	12	180	192	50.24	Disease
DCBLD1	6	186	192	50.24	Disease
BCDIN3D	14	178	192	50.24	Disease
ZNF322A	6	186	192	50.24	Disease
MBTPS2	12	180	192	50.24	Disease
RGNEF	4	188	192	50.24	Disease
ADAP1	16	176	192	50.24	Disease
STRADB	8	184	192	50.24	Disease
MPI	28	164	192	50.24	Disease
EEF1A2	28	164	192	50.24	Disease
OTUD1	2	190	192	50.24	Disease
ITGA5	16	176	192	50.24	Disease
MGC21881	6	186	192	50.24	Disease
KLHDC7B	16	176	192	50.24	Disease
C1orf26	6	186	192	50.24	Disease
PEX10	22	170	192	50.24	Disease
SIX4	16	176	192	50.24	Disease
THAP1	22	170	192	50.24	Disease
C17orf61	12	180	192	50.24	Disease
C9orf21	12	180	192	50.24	Disease
SLC35F5	10	182	192	50.24	Disease
SMAD5OS	26	166	192	50.24	Normal
MPDZ	4	186	190	49.71	Disease
TGFB1	16	174	190	49.71	Disease
C11orf80	4	186	190	49.71	Disease
ZNF621	6	184	190	49.71	Disease
C1orf86	6	184	190	49.71	Disease
C3orf39	8	182	190	49.71	Disease
KIRREL	36	154	190	49.71	Disease
INTU	4	186	190	49.71	Disease
ZFYVE27	8	182	190	49.71	Disease
LOC100133130	2	188	190	49.71	Disease
CCDC123	16	174	190	49.71	Disease
ATP7B	10	180	190	49.71	Disease
LOC100131262	8	182	190	49.71	Disease
RBM17	12	178	190	49.71	Disease
HIRA	28	162	190	49.71	Disease
ERCC8	16	174	190	49.71	Disease
CAB39L	10	180	190	49.71	Disease
TMEM179B	8	182	190	49.71	Disease
FLJ32065	12	178	190	49.71	Disease
CCDC125	10	180	190	49.71	Disease
ISYNA1	14	176	190	49.71	Disease
NR1H3	24	166	190	49.71	Disease
SLC26A10	16	174	190	49.71	Normal
SCRG1	2	188	190	49.71	Normal
CD48	2	188	190	49.71	Normal
PAMR1	10	180	190	49.71	Normal
SH2D3A	6	184	190	49.71	Disease
ARHGEF11	24	164	188	49.19	Disease
	6	182	188	49.19	Disease
SLC43A2	4	184	188	49.19	Disease
KIAA1161	8	180	188	49.19	Disease
IFNAR1	32	156	188	49.19	Disease
TMEM182	8	180	188	49.19	Disease
FPGS	44	144	188	49.19	Disease
MPP2	32	156	188	49.19	Disease
TTC9C	12	176	188	49.19	Disease
FRS2	24	164	188	49.19	Disease
DAPK1	16	172	188	49.19	Disease
NPDC1	38	150	188	49.19	Disease
GAD1	38	150	188	49.19	Disease
GTPBP10	36	152	188	49.19	Disease
C7orf60	12	176	188	49.19	Disease
TNFRSF10D	36	152	188	49.19	Disease
KIAA1967	38	150	188	49.19	Disease
C16orf70	10	178	188	49.19	Disease
GIT2	12	176	188	49.19	Disease
ST7L	12	176	188	49.19	Disease
B4GALT6	22	166	188	49.19	Disease
DYM	4	184	188	49.19	Disease
C4orf48	16	172	188	49.19	Disease
L2HGDH	18	170	188	49.19	Disease
TGM2	6	182	188	49.19	Disease
UBTD1	22	166	188	49.19	Disease
RCAN3	10	178	188	49.19	Disease
TAPT1	10	178	188	49.19	Disease
CYP4F22	4	184	188	49.19	Normal
ARHGEF15	2	186	188	49.19	Normal
CRYM	6	182	188	49.19	Normal
SCNN1B	18	170	188	49.19	Normal
C8orf17	6	182	188	49.19	Normal
HES4	16	170	186	48.67	Disease
ACADSB	14	172	186	48.67	Disease
RAB15	34	152	186	48.67	Disease
	6	180	186	48.67	Disease
SOCS7	10	176	186	48.67	Disease
MTMR10	24	162	186	48.67	Disease
CYB5D2	10	176	186	48.67	Disease
FKBP5	6	180	186	48.67	Disease
FAM3A	6	180	186	48.67	Disease
TP53INP2	6	180	186	48.67	Disease
LMBRD2	14	172	186	48.67	Disease
ALKBH2	8	178	186	48.67	Disease
NLGN2	8	178	186	48.67	Disease
FLJ44896	10	176	186	48.67	Disease
KLF13	10	176	186	48.67	Disease
	2	184	186	48.67	Disease
SMARCAD1	4	182	186	48.67	Disease
C22orf29	28	158	186	48.67	Disease
C20orf117	18	168	186	48.67	Disease
GSG2	2	184	186	48.67	Disease
ORMDL3	12	174	186	48.67	Disease
DNAJA4	6	180	186	48.67	Disease
CYP3A4	14	172	186	48.67	Normal
C7orf47	8	178	186	48.67	Disease
THAP9	34	152	186	48.67	Disease
COG7	26	160	186	48.67	Disease
SFT2D3	2	184	186	48.67	Disease
LOC151171	4	182	186	48.67	Normal
OTUD7B	10	176	186	48.67	Disease
TEP1	36	150	186	48.67	Disease
FAM76A	20	166	186	48.67	Disease
CNTLN	42	144	186	48.67	Disease
LOC441242	8	178	186	48.67	Disease
GTF2A1	12	172	184	48.14	Disease
SPIN3	6	178	184	48.14	Disease
MLLT1	34	150	184	48.14	Disease
C4orf33	12	172	184	48.14	Disease
PITPNM3	10	174	184	48.14	Disease
RAI1	10	174	184	48.14	Disease
LOC100134229	16	168	184	48.14	Disease
FBXO33	12	172	184	48.14	Disease
C17orf80	36	148	184	48.14	Disease
SNX30	8	176	184	48.14	Disease
GPR160	16	168	184	48.14	Disease
FANCM	12	172	184	48.14	Disease
ATN1	32	152	184	48.14	Disease
FADS2	10	174	184	48.14	Disease
PRO2852	2	182	184	48.14	Disease
OPA3	32	152	184	48.14	Disease
ZNF566	8	176	184	48.14	Disease
TIMM50	34	150	184	48.14	Disease
MTG1	4	180	184	48.14	Disease
EHHADH	10	174	184	48.14	Disease
ALDH1B1	8	176	184	48.14	Disease
PGP	14	170	184	48.14	Disease
LPCAT3	2	182	184	48.14	Disease
NDN	30	154	184	48.14	Normal
TBC1D17	8	176	184	48.14	Disease
ANKRD5	14	168	182	47.62	Disease
FBXO22	20	162	182	47.62	Disease
TMEM120A	12	170	182	47.62	Disease
ZNF175	20	162	182	47.62	Disease
SGTA	12	170	182	47.62	Disease
ATG10	4	178	182	47.62	Disease
ARL5B	16	166	182	47.62	Disease
ZNF669	18	164	182	47.62	Disease
PHOSPHO2	4	178	182	47.62	Disease
KLHL13	2	180	182	47.62	Disease
ALDH16A1	12	170	182	47.62	Disease
APOE	2	180	182	47.62	Disease
IL27RA	22	160	182	47.62	Disease
RTN4IP1	8	174	182	47.62	Disease
ZNF343	10	172	182	47.62	Disease
BAK1	14	168	182	47.62	Disease
SLC24A1	24	158	182	47.62	Disease
ZBTB25	24	158	182	47.62	Disease
TOM1L2	8	174	182	47.62	Disease
ETV6	8	174	182	47.62	Disease
DHRS2	30	152	182	47.62	Disease
RAVER1	16	166	182	47.62	Disease
WDR66	8	174	182	47.62	Disease
CHL1	8	174	182	47.62	Normal
DPP4	20	162	182	47.62	Normal
SPAG8	2	180	182	47.62	Normal
PPM1H	36	146	182	47.62	Disease
TNFSF13	2	180	182	47.62	Disease
MRPL38	16	166	182	47.62	Disease
TMEM63B	6	176	182	47.62	Disease
ZC3H7B	2	180	182	47.62	Disease
ZNF618	4	176	180	47.1	Disease
IL8RB	40	140	180	47.1	Normal
PTGDS	32	148	180	47.1	Normal
TRIM25	28	152	180	47.1	Disease
KCTD7	32	148	180	47.1	Disease
LIG3	34	146	180	47.1	Disease
CYP20A1	28	152	180	47.1	Disease
MEGF8	24	156	180	47.1	Disease
PHKA1	32	148	180	47.1	Disease
ULBP2	24	156	180	47.1	Disease
ZNF18	4	176	180	47.1	Disease
THEM4	2	178	180	47.1	Disease
FLJ39632	10	170	180	47.1	Disease
TSPAN9	16	164	180	47.1	Disease
RPP25	34	146	180	47.1	Disease
ERCC4	20	160	180	47.1	Disease
PTPRM	22	158	180	47.1	Disease
FAM135A	10	170	180	47.1	Disease
FLJ39061	14	164	178	46.57	Normal
SKA3	14	164	178	46.57	Disease
POFUT1	38	140	178	46.57	Disease
GDAP1	14	164	178	46.57	Disease
TEAD2	16	162	178	46.57	Disease
LOC401320	8	170	178	46.57	Disease
TCEAL2	26	152	178	46.57	Normal
ALOX12	40	138	178	46.57	Normal
LRRN4CL	4	174	178	46.57	Normal
NOVA1	32	146	178	46.57	Normal
CD69	18	160	178	46.57	Normal
ACPP	28	150	178	46.57	Normal
RNASE1	4	174	178	46.57	Normal
CDADC1	16	162	178	46.57	Disease
VCPIP1	10	168	178	46.57	Disease
RAB32	40	138	178	46.57	Disease
SLC17A9	6	172	178	46.57	Disease
SBNO2	22	156	178	46.57	Disease
C9orf140	14	164	178	46.57	Disease
C1orf58	8	170	178	46.57	Disease
EXOC6B	18	160	178	46.57	Disease
KIAA1731	10	168	178	46.57	Disease
ENDOG	30	148	178	46.57	Disease
KCTD13	30	148	178	46.57	Disease
ASAH2B	8	170	178	46.57	Disease
ELMO3	22	156	178	46.57	Disease
FLJ27352	8	170	178	46.57	Disease
RAVER2	22	156	178	46.57	Disease
SLC26A6	32	146	178	46.57	Disease
ZNF37A	2	176	178	46.57	Disease
EBF4	8	170	178	46.57	Disease
OSGEPL1	6	170	176	46.05	Disease
ANPEP	18	158	176	46.05	Normal
PTPRS	12	164	176	46.05	Disease
CPEB1	10	166	176	46.05	Disease
LOC442075	10	166	176	46.05	Disease
SIX1	44	132	176	46.05	Disease
BET1L	10	166	176	46.05	Disease
TTC7B	14	162	176	46.05	Disease
C6orf47	12	164	176	46.05	Disease
CA11	32	144	176	46.05	Disease
MTA3	12	164	176	46.05	Disease
CTSE	28	148	176	46.05	Disease
C19orf63	16	160	176	46.05	Disease
ZNF165	6	170	176	46.05	Disease
FAM168A	12	164	176	46.05	Disease
CDR2L	44	132	176	46.05	Disease
SIL1	8	168	176	46.05	Disease
TMEM27	2	174	176	46.05	Disease
TYSND1	8	168	176	46.05	Disease
BCL7C	28	146	174	45.52	Disease
IGJ	8	166	174	45.52	Normal
SLC24A2	8	166	174	45.52	Normal
RDH12	16	158	174	45.52	Normal
ADRA2A	18	156	174	45.52	Normal
GPR183	16	158	174	45.52	Normal
RHOU	16	158	174	45.52	Disease
RBM19	16	158	174	45.52	Disease
GATAD2B	16	158	174	45.52	Disease
RARS2	10	164	174	45.52	Disease
LMO7	12	162	174	45.52	Disease
C7orf50	16	158	174	45.52	Disease
LOC100170939	4	170	174	45.52	Disease
FRAS1	2	172	174	45.52	Disease
PHRF1	8	166	174	45.52	Disease
CYB561D1	14	160	174	45.52	Disease
RAPGEF1	36	138	174	45.52	Disease
DUSP19	6	168	174	45.52	Disease
EAF2	24	150	174	45.52	Disease
PGGT1B	8	166	174	45.52	Disease
PCYT2	32	142	174	45.52	Disease
CCDC85C	22	152	174	45.52	Disease
SMTN	32	142	174	45.52	Disease
NMB	24	150	174	45.52	Disease
SLC2A13	14	160	174	45.52	Disease
C12orf26	2	172	174	45.52	Disease
MORG1	12	162	174	45.52	Disease
SLC15A2	14	160	174	45.52	Disease
TMEM127	8	166	174	45.52	Disease
GRAMD1A	14	160	174	45.52	Disease
UBAC2	8	166	174	45.52	Disease
C9orf102	16	158	174	45.52	Disease
DUSP18	10	162	172	45.0	Disease
UCA1	4	168	172	45.0	Disease
GAS1	22	150	172	45.0	Disease
PTPDC1	14	158	172	45.0	Disease
AP2A1	16	156	172	45.0	Disease
GTPBP2	16	156	172	45.0	Disease
ZNF283	10	162	172	45.0	Disease
RAP1GAP2	32	140	172	45.0	Disease
SGCE	4	168	172	45.0	Disease
EID2B	16	156	172	45.0	Disease
RAGE	30	142	172	45.0	Disease
C20orf7	10	162	172	45.0	Disease
MARVELD1	12	160	172	45.0	Disease
DNM2	16	156	172	45.0	Disease
	10	162	172	45.0	Disease
NAPRT1	8	164	172	45.0	Disease
C3orf75	26	146	172	45.0	Disease
AKT1S1	16	156	172	45.0	Disease
VPS39	18	154	172	45.0	Disease
PDK2	2	170	172	45.0	Disease
CYP2U1	14	158	172	45.0	Disease
ALKBH8	6	166	172	45.0	Disease
APOL6	10	162	172	45.0	Disease
IL1F5	24	148	172	45.0	Normal
	2	170	172	45.0	Normal
ALOX5AP	8	164	172	45.0	Normal
PDE12	4	168	172	45.0	Disease
C10orf47	8	164	172	45.0	Disease
C8orf82	4	168	172	45.0	Disease
PTRH1	16	156	172	45.0	Disease
RAD54L	42	128	170	44.48	Disease
BPNT1	10	160	170	44.48	Disease
LOC643072	16	154	170	44.48	Disease
ZFP82	12	158	170	44.48	Disease
C15orf41	2	168	170	44.48	Disease
HIST1H2BH	22	148	170	44.48	Disease
TRAF3IP1	16	154	170	44.48	Disease
DNAL1	10	160	170	44.48	Disease
MPV17L2	16	154	170	44.48	Disease
SPC24	14	156	170	44.48	Disease
C6orf64	10	160	170	44.48	Disease
DRG2	22	148	170	44.48	Disease
FKBPL	28	142	170	44.48	Disease
C10orf12	10	160	170	44.48	Disease
HCG2P7	8	162	170	44.48	Disease
SHROOM1	8	162	170	44.48	Disease
GDPD5	42	128	170	44.48	Disease
ASB13	18	152	170	44.48	Disease
CYP4F12	24	146	170	44.48	Normal
PIPOX	2	168	170	44.48	Disease
USP5	2	168	170	44.48	Disease
SCUBE2	12	158	170	44.48	Normal
PQLC2	10	160	170	44.48	Disease
ZNF862	10	160	170	44.48	Disease
TTYH3	16	154	170	44.48	Disease
ZBTB47	6	164	170	44.48	Disease
PQLC3	34	134	168	43.95	Disease
SLC25A10	38	130	168	43.95	Disease
CHDH	16	152	168	43.95	Disease
ASPHD2	12	156	168	43.95	Disease
PCGF1	32	136	168	43.95	Disease
TMEM144	24	144	168	43.95	Disease
STX2	10	158	168	43.95	Disease
TMLHE	30	138	168	43.95	Disease
CCDC52	8	160	168	43.95	Disease
HNRNPUL2	12	156	168	43.95	Disease
NRBP2	8	160	168	43.95	Disease
